Country,Rank,Account,Title,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped date
All,50,mileycyrus,Miley Cyrus,https://www.instagram.com/mileycyrus/,Music,160200000,United States,501600,667900,1/1/2024
All,51,georginagio,Georgina Rodríguez,https://www.instagram.com/georginagio/,Lifestyle|Fashion|Clothing|Outfits,33400000,India,2200000,3200000,1/1/2024
All,52,actorleeminho,이민호 leeminho,https://www.instagram.com/actorleeminho/,Cinema|Actors/actresses,28200000,Indonesia,2900000,3800000,1/1/2024
All,53,gal_gadot,Gal Gadot,https://www.instagram.com/gal_gadot/,Cinema|Actors/actresses,73600000,United States,1100000,1400000,1/1/2024
All,54,fcbarcelona,FC Barcelona,https://www.instagram.com/fcbarcelona/,Sports with a ball,105100000,Indonesia,621000,950400,1/1/2024
All,55,akshaykumar,Akshay Kumar,https://www.instagram.com/akshaykumar/,Cinema|Actors/actresses,59500000,India,1400000,1600000,1/1/2024
All,56,shawnmendes,Shawn Mendes,https://www.instagram.com/shawnmendes/,Music,66500000,Brazil,923900,1400000,1/1/2024
All,57,milliebobbybrown,Millie Bobby Brown,https://www.instagram.com/milliebobbybrown/,Cinema|Actors/actresses,47500000,Brazil,1400000,1700000,1/1/2024
All,58,chrishemsworth,Chris Hemsworth,https://www.instagram.com/chrishemsworth/,Cinema|Actors/actresses,53500000,India,1200000,1500000,1/1/2024
All,59,dlwlrma,이지금 IU,https://www.instagram.com/dlwlrma/,Art|Artists,25000000,South Korea,2700000,3200000,1/1/2024
All,60,oliviarodrigo,Olivia Rodrigo,https://www.instagram.com/oliviarodrigo/,Music|Cinema|Actors/actresses,21600000,India,2900000,3600000,1/1/2024
All,61,mosalah,Mohamed Salah,https://www.instagram.com/mosalah/,Sports with a ball,47900000,Egypt,1100000,1600000,1/1/2024
All,62,rashmika_mandanna,Rashmika Mandanna,https://www.instagram.com/rashmika_mandanna/,Beauty|Art|Artists|Cinema|Actors/actresses,28600000,India,2300000,2700000,1/1/2024
All,63,lelepons,Lele Pons,https://www.instagram.com/lelepons/,Music,47300000,Mexico,1000000,1600000,1/1/2024
All,64,ursulolita,Úrsula Corberó 🐣,https://www.instagram.com/ursulolita/,Cinema|Actors/actresses|Modeling,24900000,Brazil,2000000,3000000,1/1/2024
All,65,priyankachopra,Priyanka,https://www.instagram.com/priyankachopra/,Cinema|Actors/actresses,74000000,India,817700,997000,1/1/2024
All,66,lilireinhart,Lili Reinhart,https://www.instagram.com/lilireinhart/,Cinema|Actors/actresses,29300000,Brazil,1700000,2500000,1/1/2024
All,67,handemiyy,Hande Erçel,https://www.instagram.com/handemiyy/,Cinema|Actors/actresses,26700000,Turkey,2000000,2700000,1/1/2024
All,68,ddlovato,Demi Lovato,https://www.instagram.com/ddlovato/,Music,125800000,United States,439400,564800,1/1/2024
All,69,blackpinkofficial,BLΛƆKPIИK,https://www.instagram.com/blackpinkofficial/,Music,45200000,Indonesia,1200000,1500000,1/1/2024
All,70,whinderssonnunes,Whindersson Nunes,https://www.instagram.com/whinderssonnunes/,Humor|Fun|Happiness,57100000,Brazil,781800,1200000,1/1/2024
All,71,shraddhakapoor,Shraddha ✶,https://www.instagram.com/shraddhakapoor/,Cinema|Actors/actresses,68900000,India,797300,921500,1/1/2024
All,72,meganfox,Megan Fox,https://www.instagram.com/meganfox/,Cinema|Actors/actresses,18800000,United States,2000000,3300000,1/1/2024
All,73,haileybieber,Hailey Rhode Baldwin Bieber,https://www.instagram.com/haileybieber/,Lifestyle|Modeling,41000000,United States,1100000,1500000,1/1/2024
All,74,bn_sj2013,박서준,https://www.instagram.com/bn_sj2013/,Cinema|Actors/actresses|Modeling|Lifestyle,20900000,Indonesia,2500000,3000000,1/1/2024
All,75,kimberly.loaiza,KIM LOAIZA 🖤,https://www.instagram.com/kimberly.loaiza/,Clothing|Outfits|Lifestyle,33400000,Mexico,1500000,1900000,1/1/2024
All,76,real__pcy,EXO_CY,https://www.instagram.com/real__pcy/,Music,23600000,Indonesia,2200000,2700000,1/1/2024
